ASURITE,Cohort,Status,Activities Count,NGSC Activities,civ mil count,service count,culture count
cazamor1,3,Active,6,"NGSC Culture - 2021 NGSC Spring Semester Kickoff,NGSC Culture - ON Leadership Committee,""Civ-Mil  - Women Veterans and Homelessness, part of Section 7 Section Event"",""Service - Nutrition Project, part of Section 7 Section Event"",Civ-Mil  - Section 7 Event Women Homeless Veterans,Service - MT 7 Section Event Food Packing",2,2,2
kkehl1,3,Active,0,,0,0,0
cdadams4,4,Active,4,"NGSC Culture - Spring Welcome ,""Civ-Mil  - We, the Marines Viewing Discussion "",Service - Eco-Columns at Tempe Prep Round 2 ,Service - Arizona Sustainability Alliance Volunteer ",1,2,1
baabrah3,4,Active,7,"NGSC Culture - Spring Semester Kick Off,""Civ-Mil  - We, The Marines Viewing Party"",Service - FMSC,Service - FMSC,Service - FMSC,""Civ-Mil  - We, the Marines Discussion"",""Civ-Mil  - We, the Marines Viewing party""",3,3,1
mailport,4,Active - Graduate School,2,"NGSC Culture - Alumni Chit Chat,""Civ-Mil  - We, The Marines Discussion""",1,0,1
elsilva1,4,Active,4,"Service - Floating Forests Project,""Service - Body of Water Clean-up, mission team 26"",""NGSC Culture - Composting Workshop, MT 26"",Civ-Mil  - Democracy Promotion and America's Role in the World",1,2,1
mfurnas,4,Active,4,"Service - Free Rice Event,NGSC Culture - NGSC Civil Citizens Forum,Service - AKPsi Drive In for Hospice of the Valley,Civ-Mil  - Story of the veteran: About Face - National Center for PTSD",1,2,1
kmhasse,4,Active,4,"NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Medal of Honor Movie Viewing,Service - A Million Thanks,Service - Section 5 Event - World Pediatric Project Messages",1,2,1
hdang8,4,Active,0,,0,0,0
slhagstr,4,Active,4,"Service - The Positivitea Project,Service - SFIS Volunteer Virtual Orientation ,Civ-Mil  - We the Marines Viewing Party,NGSC Culture - Basic Needs & Security Student Forum - Student Union for Community Service @ Watts College",1,2,1
smhunt4,4,Active,4,"Service - Feed My Starving Children,Service - Feed My Starving Children,Civ-Mil  - Sandboxx Letter Writing to a Friend in Marines Boot Camp,NGSC Culture - Spring Semester Kick Off",1,2,1
