Cohort,Retreat,OL Fall,OL Spring,Activities Count,NGSC Activities,civ mil count,service count,culture count
4,Yes,Yes,Yes,3,"Service - Feed my starving children,NGSC Culture - Day in the Life,NGSC Culture - DIY Air Freshener",2,2,2
4,Yes,yes,yes,2,"Civ-Mil  - Leadership in Crisis Series part 1,NGSC Culture - Mission Team Conversations ",0,0,0
2,YES,Yes,yes,4,"Service - Changemaker MLK Service Day,Civ-Mil  - Salute to Service - Letter Writing Campaign,NGSC Culture - Health Professionals Panel,Service - Kindness Day of Service",1,2,1
3,Yes,yes,yes,4,"NGSC Culture - Public Service Academy Speaker Series,Civ-Mil  - History - Veterans' Stories: Explore and Discuss,Service - Tempe Pitchfork Pantry,Service - Various Online Service ",3,3,1
4,Yes,Yes,no,0,,1,0,1
4,Yes,Yes,yes,4,"Service - Transcribed Zombified Podcast,Civ-Mil  - Medal of Honor Netflix Watch Party,NGSC Culture - Leadership as a First Responder and Medical Professional,Service - Transcribed Zombified Podcast",1,2,1
T2,yes,yes,no,3,"Service - Chandler Multicultural Festival,Service - MOVE Food Pantry,Civ-Mil  - Meeting the Moment: Leadership During a Crisis ",1,2,1
4,No,Yes,no,0,,1,2,1
3,Yes,Yes,yes,4,"""Civ-Mil  - Should the U.S Build the Southern Border Wall? Bridge ASU, ACTA and Better Angels"",NGSC Culture - NGSC Petting Zoo,Service - Operation Gratitude ,Service - Meeting the Moment: The Next Generation of Service ",0,0,0
2,YES,Yes,yes,0,,1,2,1
5,Yes,yes,yes,4,"Civ-Mil  - Profiles in Service - It Takes a Nation,Service - HOBY Merchandise Design,Service - Emergency Hygiene Packs,NGSC Culture - Making an Impact",1,2,1
5,Yes,Yes,YES,4,"""Civ-Mil  - Leadership, Crisis Planning, and Crisis Decision Making "",NGSC Culture - Meeting the Moment Leadership During Crisis,Service - Virtual Service Saturday: Writing Letters to Strangers ,Service - Crisis Text Line ",1,2,1
2,No,No,yes,0,,0,0,0
4,No,yes,yes,4,"Service - Strike Out Arthritis,Service - Smoke Out Arthritis,NGSC Culture - Meeting the Moment: Session 2: Leadership as a Public Official,Civ-Mil  - Profiles in Service",1,3,1
2,YES,Yes,yes,4,"NGSC Culture - Volunteer at OLS Spring 2020!  My last one :*),Service - Produce Rescue,Service - Sun Devil Alka Rocketeer Service,Civ-Mil  - Profiles in Service: It Takes a Nation documentary",1,2,1
